"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","B2M",162.607462089382,2.88990371158569,0.416555106506191,6.92973193374355e-14,1.10044143107848e-09
"2","MUCL1",1985.77104094814,2.59234123012669,0.534070936707899,4.40194826530537e-10,3.49514692265246e-06
"3","LINC01954",9.65297814297245,4.05420606082734,0.797755917706837,4.09403404755044e-09,2.16710868917003e-05
"4","COL27A1",196.765132989741,1.87534580441541,0.373411654647273,1.87808645247211e-08,7.45600321631427e-05
"5","NNMT",109.869201929743,3.06352541775835,0.727891016226132,3.18361169117866e-08,0.000101111507311834
"6","Z98257.1",124.999049763159,3.11636981679122,0.785357744060135,8.38095704021812e-08,0.000221815996331106
"7","AL731533.3",4.8328041679651,3.96979305970996,0.9208881872188,1.8528987631783e-07,0.000420343319418163
"8","MFAP5",273.459603245959,1.78969658559438,0.417118845394432,3.32662761503375e-07,0.000640444292041741
"9","COL4A1",267.93848388915,1.47930661856887,0.325466204367948,3.62972205817107e-07,0.000640444292041741
"10","ISM2",38.4488568332402,1.73829218305979,0.424148393409057,6.79634051923441e-07,0.00107925887445442
"11","NMI",105.010841247867,2.12415220318787,0.658594742526831,1.12848738654772e-06,0.00149336497486481
"12","COL4A2",310.191830197517,1.18697428917672,0.275919146440514,1.10386557535987e-06,0.00149336497486481
"13","AC005229.5",20.0879645647366,1.90496961385133,0.482586719575536,1.26343871082699e-06,0.00154333897907173
"14","LEP",2860.82810666056,1.52877234502336,0.424129497644283,2.27145783039529e-06,0.00205234605611012
"15","AL929601.1",25.9031317676906,-2.22667077915903,0.620905082027883,2.28259956946558e-06,0.00205234605611012
"16","FSTL3",368.307871686592,1.7617312120726,0.49455679994636,2.32633683941953e-06,0.00205234605611012
"17","EBI3",13.1933179031872,2.60163989399795,0.667872114376818,1.8464924703437e-06,0.00205234605611012
"18","AC234031.1",28.1804193826435,1.98898307053836,0.54039062128747,2.27623722633221e-06,0.00205234605611012
"19","DHRS13",70.2724102038779,-0.695194475846088,0.174401393120078,2.95255214323225e-06,0.00238835609541781
"20","IGFL2-AS1",23.0258856067984,2.13767502140842,0.560060543297955,3.00800515795694e-06,0.00238835609541781
"21","MED19",240.028435470597,-0.499711364317409,0.12813028697303,4.31378937616933e-06,0.0032620464425509
"22","HLA-C",129.063371947606,-2.74899536234542,0.773570827600487,4.66552387583826e-06,0.00336765996128689
"23","PCSK5",215.809061593264,1.45826168145164,0.415411342223546,6.92464870251049e-06,0.00478101832155942
"24","SMPD3",31.2439275683426,1.73224037033857,0.575089995756043,8.50389993754364e-06,0.00561189807154556
"25","ERVH48-1",41.5667976761434,1.02657036690482,0.273782710089885,8.83485212774805e-06,0.00561189807154556
"26","CCZ1B",16.8696233100719,1.55561812540414,0.501850804968287,1.19324411920715e-05,0.0072879679280806
"27","CORO2A",66.3837805343986,0.890022213582656,0.257467502725475,1.65486183913716e-05,0.00973303926129557
"28","FUT10",64.3027869241293,0.922895047102379,0.277215555326557,2.22509890937413e-05,0.012619489528879
"29","SLC16A12",24.0416487712999,-1.76750877793467,0.549199163752619,2.45768722614033e-05,0.0133390963865822
